CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
1,Roodel,Albert Austin,Research Assistant III,34098 Hagan Avenue,Shreveport,LA,71137,United States,7-(451)034-6624,2-(106)974-2749
2,Tazz,Judy Graham,Staff Scientist,9 Brown Road,Portland,OR,97229,United States,2-(625)624-2725,2-(639)173-8618
3,Camimbo,Donna Gonzales,Environmental Specialist,0528 Hallows Street,Philadelphia,PA,19120,United States,5-(236)309-5493,6-(963)968-7499
4,Realpoint,Lois Ray,Mechanical Systems Engineer,828 Evergreen Crossing,Fargo,ND,58106,United States,0-(924)511-5848,5-(705)258-5377
5,Photolist,Tina Murray,Physical Therapy Assistant,34 Mesta Street,Johnson City,TN,37605,United States,1-(715)601-7338,6-(352)530-5026
6,Viva,Diana Olson,Marketing Manager,05909 Anzinger Crossing,Denver,CO,80235,United States,2-(819)408-7314,5-(770)232-3851
7,Photobug,Irene Medina,Help Desk Technician,39391 Bunting Point,Miami,FL,33245,United States,7-(556)432-1456,7-(691)294-6727
8,Tazzy,Jane Mills,Database Administrator I,55 8th Street,Bloomington,IL,61709,United States,9-(448)492-8722,2-(954)747-6504
9,Centidel,Kimberly Harvey,Assistant Media Planner,89 Kennedy Park,El Paso,TX,88579,United States,1-(723)815-3579,5-(150)133-1003
10,Yoveo,Julie Ross,Computer Systems Analyst II,92596 Lunder Terrace,Seattle,WA,98148,United States,6-(340)813-8758,2-(146)677-8035
11,Jayo,Michael Jackson,Accountant III,2 Logan Drive,Richmond,VA,23272,United States,5-(253)334-8824,1-(826)267-1902
12,Skippad,Pamela Bennett,Paralegal,55790 Bayside Place,Washington,DC,20226,United States,7-(715)942-2008,0-(921)631-6000
13,Zooveo,Frances Hawkins,Recruiter,8 Reindahl Way,Cedar Rapids,IA,52405,United States,0-(878)423-8667,8-(579)561-5675
14,Jetpulse,Roger Young,Sales Representative,336 Old Shore Center,Arlington,VA,22217,United States,4-(566)346-6033,9-(660)680-1355
15,Realcube,Keith Bailey,Registered Nurse,9257 Swallow Point,Alexandria,VA,22333,United States,8-(233)320-6745,6-(559)090-7044
16,Feedfish,Joshua Willis,Clinical Specialist,39637 Trailsway Street,Tulsa,OK,74156,United States,5-(057)824-9943,5-(450)956-2774
17,Twitterwire,David Fuller,Chief Design Engineer,3 Jenna Place,Brea,CA,92822,United States,3-(905)102-1053,4-(747)485-2845
18,Zooveo,Nancy Gardner,Programmer Analyst II,222 Tennessee Center,Jackson,MS,39210,United States,3-(776)638-6897,9-(900)124-8182
19,Realcube,Shirley Clark,Software Test Engineer IV,3569 Lunder Court,Columbus,GA,31904,United States,3-(815)577-7220,9-(807)009-8632
20,Jetwire,Amanda Wood,Human Resources Assistant I,475 Everett Circle,Raleigh,NC,27635,United States,1-(009)038-6735,2-(195)203-2046
21,Jabbersphere,Lillian Hicks,VP Marketing,308 Lighthouse Bay Point,Newark,NJ,07104,United States,2-(681)109-7779,4-(580)006-0677
