CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
1,Avavee,Carlos Torres,Research Nurse,854 Tennyson Alley,Boston,MA,02109,United States,4-(399)295-2208,2-(545)628-0113
2,Zoonoodle,Jason Taylor,Information Systems Manager,80351 Tennessee Parkway,Temple,TX,76505,United States,4-(766)536-4906,8-(258)829-6525
3,Midel,Judy Phillips,Recruiting Manager,98 Lillian Hill,Buffalo,NY,14215,United States,8-(596)000-7040,9-(410)313-4123
4,Feedbug,Benjamin Parker,Registered Nurse,46 Ohio Hill,Buffalo,NY,14210,United States,6-(814)971-8596,3-(489)304-5104
5,Jabbertype,Donald Dunn,Analyst Programmer,566 Maple Wood Trail,Dallas,TX,75221,United States,3-(079)438-5834,2-(002)520-9729
6,Midel,Peter Kim,Computer Systems Analyst IV,56937 Monterey Avenue,Van Nuys,CA,91499,United States,2-(802)036-1872,3-(215)828-8955
7,Mycat,Lisa Bell,Business Systems Development Analyst,55 Debs Lane,Carson City,NV,89706,United States,8-(370)541-5325,2-(293)685-9693
8,Meevee,Linda Bell,Operator,54 Prairieview Park,Billings,MT,59112,United States,5-(801)201-9176,2-(030)047-4973
9,Shufflebeat,Heather Brooks,Developer I,09476 Dwight Terrace,Pasadena,CA,91109,United States,6-(043)028-4763,4-(237)527-1007
10,Katz,Steven Russell,Business Systems Development Analyst,3 Annamark Hill,Detroit,MI,48242,United States,1-(303)481-3609,6-(782)611-2108
11,Riffpath,Daniel Adams,Mechanical Systems Engineer,6 Susan Drive,Cleveland,OH,44118,United States,8-(150)763-0126,0-(469)917-5365
12,Flipstorm,Todd Burns,Project Manager,2873 Dennis Plaza,Spokane,WA,99260,United States,7-(494)567-4466,3-(858)325-2107
13,Kimia,Dennis Gomez,Operator,55983 Novick Drive,Fairfield,CT,06825,United States,6-(481)655-6806,8-(585)571-3133
14,Livetube,Roy Long,VP Product Management,0 Memorial Crossing,Springfield,OH,45505,United States,1-(742)495-5625,7-(858)228-9145
15,Devpoint,Kathryn Holmes,Senior Sales Associate,10747 Ruskin Lane,Washington,DC,20530,United States,1-(600)985-8808,8-(662)776-0632
16,Ooba,Louise Lee,Compensation Analyst,10 Carberry Crossing,Naples,FL,33961,United States,1-(241)573-9055,1-(305)773-0104
17,Vidoo,Diane Weaver,Clinical Specialist,316 Upham Place,Minneapolis,MN,55423,United States,0-(859)339-4609,1-(970)410-4186
18,Gabtype,Christina Bradley,Account Executive,93 Talmadge Circle,Birmingham,AL,35210,United States,2-(842)289-3090,0-(943)656-5837
19,Shuffletag,Jacqueline Williams,Mechanical Systems Engineer,037 Donald Park,Jamaica,NY,11431,United States,9-(221)826-8452,1-(440)260-1914
20,Fatz,Karen Snyder,Director of Sales,05435 Burrows Pass,Louisville,KY,40256,United States,6-(560)255-4049,7-(583)773-0226
21,Blogpad,Henry Stewart,Web Developer I,339 Ridgeview Road,Austin,TX,78721,United States,2-(302)088-3125,1-(237)099-4987
22,Zoonder,Harold Morgan,Analyst Programmer,1 Hermina Way,Honolulu,HI,96805,United States,9-(151)378-0136,1-(401)076-0978
23,Demizz,Christina Moore,Clinical Specialist,5 Reindahl Street,Colorado Springs,CO,80905,United States,3-(045)571-7064,4-(872)322-2259
24,Avavee,Eric Murray,Senior Developer,7 Farmco Place,San Jose,CA,95113,United States,0-(323)789-5869,6-(506)802-9154
25,Eare,Douglas Howell,Desktop Support Technician,933 Hooker Trail,Salt Lake City,UT,84140,United States,5-(854)506-8552,0-(211)712-2693
26,Thoughtstorm,Jane Freeman,Developer III,2685 Meadow Vale Avenue,Louisville,KY,40256,United States,8-(630)347-1601,6-(465)320-9007
27,Jabbersphere,Daniel Cole,Staff Scientist,0 Farwell Terrace,Akron,OH,44310,United States,8-(285)178-5243,6-(912)627-7385
28,Dynabox,Carol Carroll,Research Assistant II,4884 Coleman Circle,Newton,MA,02162,United States,1-(938)137-0827,0-(550)567-7253
29,Gabvine,Thomas Bell,Librarian,5 Heath Road,Colorado Springs,CO,80915,United States,2-(132)282-3831,5-(386)101-6966
30,Jabberbean,Anthony Jones,Analyst Programmer,4653 Warbler Alley,Indianapolis,IN,46231,United States,6-(914)759-2147,8-(525)257-7114
31,Devpulse,Jason Mendoza,Payment Adjustment Coordinator,0 Scoville Way,Las Vegas,NV,89120,United States,3-(167)098-4313,5-(591)097-6100
32,Zoonoodle,Betty Weaver,Database Administrator II,001 Emmet Lane,Lexington,KY,40515,United States,0-(424)398-5869,4-(742)137-0960
33,Aimbu,Rachel Moreno,Analog Circuit Design manager,3 Straubel Trail,San Francisco,CA,94121,United States,4-(606)954-7897,7-(899)393-1971
34,Blognation,Matthew Little,Legal Assistant,72 Montana Parkway,Washington,DC,20525,United States,1-(679)875-4868,5-(650)526-2078
35,Skyndu,Kelly Dunn,Programmer IV,4 Hansons Pass,Newark,DE,19725,United States,1-(295)627-0140,3-(632)195-7827
36,Photobean,Carl Bradley,Research Nurse,5746 Debra Junction,Charlotte,NC,28220,United States,6-(551)877-9218,6-(853)294-3473
37,Skippad,Aaron Cruz,Analog Circuit Design manager,5 Granby Street,Tampa,FL,33610,United States,9-(153)578-4251,4-(498)375-9571
38,Meevee,Wanda Johnson,Nuclear Power Engineer,45 Rockefeller Terrace,Little Rock,AR,72222,United States,0-(320)266-9572,8-(042)318-3331
39,Voolith,Kathryn Smith,Marketing Assistant,6687 Nancy Drive,Cleveland,OH,44111,United States,2-(012)306-7915,7-(416)807-8027
40,Brainsphere,Albert Stone,Professor,326 Katie Parkway,Richmond,VA,23225,United States,5-(767)043-8714,7-(859)197-4192
41,Browsebug,Susan Gilbert,Engineer II,9222 Mallard Alley,Beaumont,TX,77705,United States,6-(842)192-9902,4-(320)328-1604
42,Fatz,Judith Richardson,Assistant Manager,0843 Valley Edge Drive,Fort Worth,TX,76192,United States,1-(295)064-6901,0-(083)408-4881
43,Fiveclub,Jennifer Dunn,Software Engineer IV,09341 Stang Circle,Naples,FL,33963,United States,6-(427)187-6026,0-(602)176-1563
44,Gabtune,Andrea Scott,Administrative Assistant II,9445 Scoville Parkway,Meridian,MS,39305,United States,6-(871)088-8993,3-(620)192-4837
45,Browsecat,Donna Davis,Assistant Professor,7431 Graceland Pass,Little Rock,AR,72215,United States,3-(663)230-1794,4-(242)111-8643
46,Camimbo,George Montgomery,Speech Pathologist,35 Gateway Park,Portsmouth,VA,23705,United States,2-(840)717-3359,9-(849)491-6621
47,Photolist,Wayne Johnston,Structural Analysis Engineer,8 Green Junction,Washington,DC,20591,United States,6-(039)272-7237,6-(153)521-6304
48,Quaxo,Paul Baker,Senior Cost Accountant,3713 Ryan Avenue,Memphis,TN,38197,United States,4-(839)607-5916,8-(064)696-4330
49,Wikivu,Ruby Cook,Structural Engineer,0 Gale Point,Lake Charles,LA,70607,United States,6-(417)502-8645,3-(869)199-4640
50,Trunyx,David Myers,Pharmacist,0 Hintze Alley,Nashville,TN,37245,United States,9-(763)101-3712,6-(499)933-8111
51,Topiczoom,Steve Gutierrez,Senior Editor,0900 Eggendart Court,Brooklyn,NY,11254,United States,3-(487)635-8916,2-(701)916-6517
52,Photobug,Gregory Hill,Senior Developer,05 Quincy Place,Los Angeles,CA,90035,United States,0-(879)293-4002,4-(621)133-7902
53,Plajo,Jeremy Stephens,Budget/Accounting Analyst IV,4 Golf View Court,Lincoln,NE,68531,United States,2-(689)510-4997,2-(229)212-0669
54,Jabbercube,Jessica Cole,Internal Auditor,8 Blackbird Street,Gilbert,AZ,85297,United States,4-(822)642-6598,7-(979)968-0399
55,Katz,Henry Jackson,Accountant I,93 Bultman Circle,Saint Louis,MO,63131,United States,4-(238)851-6217,9-(471)098-2868
56,Dabfeed,Christopher Fernandez,Registered Nurse,6 Warbler Way,Fresno,CA,93715,United States,2-(456)620-9251,0-(580)268-0886
57,Aimbu,Robert Payne,Assistant Professor,33 Muir Pass,Detroit,MI,48295,United States,9-(868)450-5338,4-(292)081-2616
58,Mynte,Willie Chapman,Senior Financial Analyst,81295 Steensland Court,Amarillo,TX,79182,United States,3-(000)514-9536,4-(272)511-1138
59,Rhyloo,Charles Morris,Assistant Professor,1034 Manitowish Road,Santa Barbara,CA,93111,United States,8-(179)517-8909,0-(511)416-0315
60,Trilith,Gloria Green,Geologist III,0458 Walton Junction,Detroit,MI,48275,United States,6-(064)023-3251,7-(234)554-5345
61,Voonder,Pamela Stephens,Civil Engineer,63 Eastlawn Road,Trenton,NJ,08619,United States,7-(775)885-3721,0-(251)435-0776
62,Devshare,Rebecca Simpson,Senior Cost Accountant,46690 Tony Junction,Toledo,OH,43605,United States,1-(384)686-0612,5-(987)689-9284
63,Oyoloo,Richard Reed,Accounting Assistant I,19618 Butterfield Point,San Antonio,TX,78260,United States,8-(724)644-1719,3-(510)710-7519
64,Gabcube,David Armstrong,Software Consultant,6405 Hoffman Avenue,Homestead,FL,33034,United States,2-(931)832-2780,1-(788)243-8383
65,Demizz,Jeremy Jackson,Senior Cost Accountant,20011 Aberg Lane,Shawnee Mission,KS,66276,United States,7-(649)556-3625,9-(698)806-5168
66,Trilith,Fred Rice,Administrative Officer,503 Heath Court,Dallas,TX,75210,United States,7-(152)254-7743,1-(320)670-0988
67,Zoovu,Ruby Russell,Senior Financial Analyst,9 Marquette Junction,Pompano Beach,FL,33075,United States,5-(664)207-6000,2-(145)610-3643
68,Pixope,Frances Burns,Director of Sales,246 Oxford Center,Austin,TX,78703,United States,6-(578)514-6473,5-(762)581-5732
69,Twitterbeat,Juan Simmons,Software Consultant,97859 Brentwood Hill,Sioux Falls,SD,57188,United States,9-(187)845-8352,1-(559)927-0345
70,Roombo,Ruby Fisher,Web Developer III,5 Golden Leaf Place,Lake Worth,FL,33467,United States,2-(111)836-5695,5-(684)569-6222
71,Dabshots,Carol Jacobs,Senior Financial Analyst,99485 Colorado Terrace,Sacramento,CA,94237,United States,1-(954)845-6064,1-(802)974-3294
72,Avamm,Julia Hughes,Programmer Analyst II,71 Ronald Regan Drive,New Orleans,LA,70165,United States,1-(357)456-6039,7-(100)371-3860
73,Tagtune,Phillip Powell,Media Manager II,249 Mayer Plaza,Evansville,IN,47747,United States,7-(563)848-5688,2-(433)435-5197
74,Photobean,Jeffrey Woods,Nurse Practicioner,7580 Tomscot Park,Milwaukee,WI,53210,United States,7-(032)929-2129,2-(586)855-9549
